"common.name","native.US","status.SEAZ","diet","group"
"Lewis's Woodpecker","Native","Winter",NA,"Woodpecker"
"Lincoln's Sparrow","Native","Winter","Ground arthropods","SparrowEtAl"
"Loggerhead Shrike","Native","Year-Round","Ground arthropods","ShrikeVireo"
"Long-billed Dowitcher","Native","Winter",NA,"Shorebird"
"Long-eared Owl","Native","Year-Round",NA,"Owl"
"Lucy's Warbler","Native","Breeding","Foliage arthropods","Warbler"
"MacGillivray's Warbler","Native","Migrant","Foliage arthropods","Warbler"
"Mallard","Native","Year-Round","Aquatic","DuckEtAl"
"Marsh Wren","Native","Winter","Ground arthropods","Wren"
"Merlin","Native","Winter",NA,"Raptor"
"Mexican Duck","Native","Year-Round","Aquatic","DuckEtAl"
"Mexican Jay","Native","Year-Round","Omnivorous","JayRaven"
"Montezuma Quail","Native","Year-Round",NA,"Quail"
"Mountain Bluebird","Native","Winter",NA,"Thrush"
"Mourning Dove","Native","Year-Round","Seeds","DovePigeon"
"Nashville Warbler","Native","Migrant","Foliage arthropods","Warbler"
"Neotropic Cormorant","Native","Migrant",NA,"PelicanEtAl"
"Northern Beardless-Tyrannulet","Native","Breeding","Aerial arthropods","Flycatcher"
"Northern Cardinal","Native","Year-Round","Ground arthropods","TanagerCardinalEtAl"
"Northern Flicker","Native","Winter","Ground arthropods","Woodpecker"
"Northern Harrier","Native","Winter","Vertebrates","Raptor"
"Northern Mockingbird","Native","Year-Round","Ground arthropods","Mimid"
"Northern Parula","Native","Rarity",NA,"Warbler"
"Northern Pintail","Native","Winter","Aquatic","DuckEtAl"
"Northern Rough-winged Swallow","Native","Breeding","Aerial arthropods","Swallow"
"Northern Shoveler","Native","Winter","Aquatic","DuckEtAl"
"Olive-sided Flycatcher","Native","Migrant",NA,"Flycatcher"
"Orange-crowned Warbler","Native","Winter","Foliage arthropods","Warbler"
"Osprey","Native","Migrant",NA,"Raptor"
"Pacific-slope Flycatcher","Native","Breeding",NA,"Flycatcher"
"Painted Redstart","Native","Breeding",NA,"Warbler"
"Pectoral Sandpiper","Native","Rarity",NA,"Shorebird"
"Peregrine Falcon","Native","Year-Round","Vertebrates","Raptor"
"Phainopepla","Native","Year-Round","Fruits","Phainopepla"
"Pied-billed Grebe","Native","Year-Round",NA,"DuckEtAl"
"Pine Siskin","Native","Year-Round",NA,"Finch"
"Plumbeous Vireo","Native","Migrant","Foliage arthropods","ShrikeVireo"
"Prairie Falcon","Native","Year-Round","Vertebrates","Raptor"
"Purple Martin","Native","Breeding","Aerial arthropods","Swallow"
"Pyrrhuloxia","Native","Year-Round","Seeds","TanagerCardinalEtAl"
"Red-breasted Merganser","Native","Rarity",NA,"DuckEtAl"
"Red-breasted Nuthatch","Native","Year-Round",NA,"NuthatchCreeper"
"Red-breasted Sapsucker","Native","Rarity",NA,"Woodpecker"
"Red-naped Sapsucker","Native","Winter","Trunk arthropods","Woodpecker"
"Red-necked Phalarope","Native","Rarity",NA,"Shorebird"
"Red-tailed Hawk","Native","Year-Round","Vertebrates","Raptor"
"Red-winged Blackbird","Native","Year-Round","Ground arthropods","Icterid"
"Red Crossbill","Native","Winter","Seeds","Finch"
"Redhead","Native","Winter","Aquatic","DuckEtAl"
"Ring-billed Gull","Native","Migrant",NA,"TernGull"
"Ring-necked Duck","Native","Winter",NA,"DuckEtAl"
"Ringed Turtle-Dove","Non-native","Released",NA,"DovePigeon"
"Rock Pigeon","Non-native","Year-Round","Seeds","DovePigeon"
"Rock Wren","Native","Year-Round","Ground arthropods","Wren"
"Rose-breasted Grosbeak","Native","Rarity",NA,"TanagerCardinalEtAl"
"Ruby-crowned Kinglet","Native","Winter","Foliage arthropods","Kinglet"
"Ruddy Duck","Native","Year-Round","Aquatic","DuckEtAl"
"Rufous-crowned Sparrow","Native","Year-Round","Ground arthropods","SparrowEtAl"
"Rufous-winged Sparrow","Native","Year-Round","Foliage arthropods","SparrowEtAl"
"Rufous Hummingbird","Native","Migrant",NA,"Hummingbird"
"Sage Sparrow","Native","Winter",NA,"SparrowEtAl"
"Sage Thrasher","Native","Winter",NA,"Mimid"
"Savannah Sparrow","Native","Winter","Ground arthropods","SparrowEtAl"
"Say's Phoebe","Native","Year-Round","Aerial arthropods","Flycatcher"
"Scott's Oriole","Native","Breeding","Foliage arthropods","Icterid"
"Sharp-shinned Hawk","Native","Winter","Vertebrates","Raptor"
"Snow Goose","Native","Rarity",NA,"DuckEtAl"
"Snowy Egret","Native","Breeding",NA,"WadingBird"
"Solitary Sandpiper","Native","Migrant",NA,"Shorebird"
"Song Sparrow","Native","Year-Round","Ground arthropods","SparrowEtAl"
"Sora","Native","Winter","Seeds","Gruiform"
"Spotted Sandpiper","Native","Winter","Aquatic","Shorebird"
"Spotted Towhee","Native","Year-Round",NA,"SparrowEtAl"
"Stilt Sandpiper","Native","Rarity",NA,"Shorebird"
"Summer Tanager","Native","Breeding","Foliage arthropods","TanagerCardinalEtAl"
"Swainson's Hawk","Native","Breeding","Vertebrates","Raptor"
"Swainson's Thrush","Native","Migrant","Foliage arthropods","Thrush"
"Tennessee Warbler","Native","Rarity",NA,"Warbler"
"Townsend's Warbler","Native","Migrant",NA,"Warbler"
"Tree Swallow","Native","Migrant",NA,"Swallow"
"Tricolored Heron","Native","Rarity",NA,"WadingBird"
"Tropical Kingbird","Native","Breeding",NA,"Flycatcher"
"Turkey Vulture","Native","Breeding","Vertebrates","Raptor"
"Varied Bunting","Native","Breeding",NA,"TanagerCardinalEtAl"
"Vaux's Swift","Native","Migrant",NA,"GoatsuckerSwift"
"Verdin","Native","Year-Round","Foliage arthropods","ChickadeeEtAl"
"Vermilion Flycatcher","Native","Year-Round","Aerial arthropods","Flycatcher"
"Vesper Sparrow","Native","Winter","Ground arthropods","SparrowEtAl"
"Violet-green Swallow","Native","Migrant","Aerial arthropods","Swallow"
"Virginia's Warbler","Native","Migrant","Ground arthropods","Warbler"
"Virginia Rail","Native","Winter",NA,"Gruiform"
"Warbling Vireo","Native","Migrant","Foliage arthropods","ShrikeVireo"
"Western Bluebird","Native","Winter",NA,"Thrush"
"Western Grebe","Native","Rarity","Aquatic","DuckEtAl"
"Western Kingbird","Native","Breeding","Aerial arthropods","Flycatcher"
"Western Meadowlark","Native","Winter","Ground arthropods","Icterid"
"Western Sandpiper","Native","Winter",NA,"Shorebird"
"Western Screech-Owl","Native","Year-Round",NA,"Owl"
"Western Tanager","Native","Migrant","Foliage arthropods","TanagerCardinalEtAl"
"Western Wood-Pewee","Native","Breeding",NA,"Flycatcher"
"White-breasted Nuthatch","Native","Year-Round","Trunk arthropods","NuthatchCreeper"
"White-crowned Sparrow","Native","Winter","Ground arthropods","SparrowEtAl"
"White-eyed Vireo","Native","Rarity",NA,"ShrikeVireo"
"White-faced Ibis","Native","Migrant",NA,"WadingBird"
"White-throated Sparrow","Native","Winter",NA,"SparrowEtAl"
"White-throated Swift","Native","Year-Round","Aerial arthropods","GoatsuckerSwift"
"White-winged Dove","Native","Breeding","Seeds","DovePigeon"
"Willet","Native","Rarity","Aquatic","Shorebird"
