common.name,native.US,status.SEAZ,diet,group
Red-breasted Sapsucker,Native,Rarity,,Woodpecker
Redhead,Native,Winter,Aquatic,DuckEtAl
Red-naped Sapsucker,Native,Winter,Trunk arthropods,Woodpecker
Red-necked Phalarope,Native,Rarity,,Shorebird
Red-tailed Hawk,Native,Year-Round,Vertebrates,Raptor
Red-winged Blackbird,Native,Year-Round,Ground arthropods,Icterid
Ring-billed Gull,Native,Migrant,,TernGull
Ringed Turtle-Dove,Non-native,Released,,DovePigeon
Ring-necked Duck,Native,Winter,,DuckEtAl
Rock Pigeon,Non-native,Year-Round,Seeds,DovePigeon
Rock Wren,Native,Year-Round,Ground arthropods,Wren
Rose-breasted Grosbeak,Native,Rarity,,TanagerCardinalEtAl
Ruby-crowned Kinglet,Native,Winter,Foliage arthropods,Kinglet
Ruddy Duck,Native,Year-Round,Aquatic,DuckEtAl
Rufous Hummingbird,Native,Migrant,,Hummingbird
Rufous-crowned Sparrow,Native,Year-Round,Ground arthropods,SparrowEtAl
Rufous-winged Sparrow,Native,Year-Round,Foliage arthropods,SparrowEtAl
Sage Sparrow,Native,Winter,,SparrowEtAl
Sage Thrasher,Native,Winter,,Mimid
Savannah Sparrow,Native,Winter,Ground arthropods,SparrowEtAl
Say's Phoebe,Native,Year-Round,Aerial arthropods,Flycatcher
Scaled Quail,Native,Year-Round,Seeds,Quail
Scott's Oriole,Native,Breeding,Foliage arthropods,Icterid
Sharp-shinned Hawk,Native,Winter,Vertebrates,Raptor
Snow Goose,Native,Rarity,,DuckEtAl
Snowy Egret,Native,Breeding,,WadingBird
Solitary Sandpiper,Native,Migrant,,Shorebird
Song Sparrow,Native,Year-Round,Ground arthropods,SparrowEtAl
Sora,Native,Winter,Seeds,Gruiform
Spotted Sandpiper,Native,Winter,Aquatic,Shorebird
Spotted Towhee,Native,Year-Round,,SparrowEtAl
Stilt Sandpiper,Native,Rarity,,Shorebird
Summer Tanager,Native,Breeding,Foliage arthropods,TanagerCardinalEtAl
Swainson's Hawk,Native,Breeding,Vertebrates,Raptor
Swainson's Thrush,Native,Migrant,Foliage arthropods,Thrush
Tennessee Warbler,Native,Rarity,,Warbler
Townsend's Warbler,Native,Migrant,,Warbler
Tree Swallow,Native,Migrant,,Swallow
Tricolored Heron,Native,Rarity,,WadingBird
Tropical Kingbird,Native,Breeding,,Flycatcher
Turkey Vulture,Native,Breeding,Vertebrates,Raptor
Varied Bunting,Native,Breeding,,TanagerCardinalEtAl
Vaux's Swift,Native,Migrant,,GoatsuckerSwift
Verdin,Native,Year-Round,Foliage arthropods,ChickadeeEtAl
Vermilion Flycatcher,Native,Year-Round,Aerial arthropods,Flycatcher
Vesper Sparrow,Native,Winter,Ground arthropods,SparrowEtAl
Violet-green Swallow,Native,Migrant,Aerial arthropods,Swallow
Virginia Rail,Native,Winter,,Gruiform
Virginia's Warbler,Native,Migrant,Ground arthropods,Warbler
Warbling Vireo,Native,Migrant,Foliage arthropods,ShrikeVireo
Western Bluebird,Native,Winter,,Thrush
Western Grebe,Native,Rarity,Aquatic,DuckEtAl
Western Kingbird,Native,Breeding,Aerial arthropods,Flycatcher
Western Meadowlark,Native,Winter,Ground arthropods,Icterid
Western Sandpiper,Native,Winter,,Shorebird
Western Screech-Owl,Native,Year-Round,,Owl
Western Tanager,Native,Migrant,Foliage arthropods,TanagerCardinalEtAl
Western Wood-Pewee,Native,Breeding,,Flycatcher
White-breasted Nuthatch,Native,Year-Round,Trunk arthropods,NuthatchCreeper
White-crowned Sparrow,Native,Winter,Ground arthropods,SparrowEtAl
White-eyed Vireo,Native,Rarity,,ShrikeVireo
White-faced Ibis,Native,Migrant,,WadingBird
White-throated Sparrow,Native,Winter,,SparrowEtAl
White-throated Swift,Native,Year-Round,Aerial arthropods,GoatsuckerSwift
White-winged Dove,Native,Breeding,Seeds,DovePigeon
Willet,Native,Rarity,Aquatic,Shorebird
Williamson's Sapsucker,Native,Winter,,Woodpecker
Willow Flycatcher,Native,Migrant,,Flycatcher
Wilson's Phalarope,Native,Migrant,,Shorebird
Wilson's Snipe,Native,Winter,,Shorebird
Wilson's Warbler,Native,Migrant,Foliage arthropods,Warbler
Wood Duck,Native,Winter,,DuckEtAl
Woodhouse's Scrub-Jay,Native,Year-Round,Omnivorous,JayRaven
Yellow Warbler,Native,Breeding,Foliage arthropods,Warbler
Yellow-bellied Sapsucker,Native,Rarity,,Woodpecker
Yellow-billed Cuckoo,Native,Breeding,,CuckooEtAl
Yellow-breasted Chat,Native,Breeding,Foliage arthropods,Warbler
Yellow-headed Blackbird,Native,Winter,Ground arthropods,Icterid
Yellow-rumped Warbler,Native,Migrant,Foliage arthropods,Warbler
Zone-tailed Hawk,Native,Migrant,,Raptor
